Name of the Food Item,Calories (per 100 grams),Protein (grams per 100 grams),Carbohydrates (grams per 100 grams),Fats (grams per 100 grams),Sugar (grams per 100 grams)
Broccoli,34,2.8,6.6,0.4,1.7
Spinach,23,2.9,3.6,0.4,0.4
Carrots,41,0.9,9.6,0.2,4.7
Tomatoes,18,0.9,3.9,0.2,2.6
Kale,49,4.3,9,0.9,1.3
Cucumber,15,0.7,3.6,0.1,1.7
Bell Pepper,20,0.9,4.6,0.2,2.4
Cauliflower,25,1.9,5,0.3,1.9
Peas,81,5.4,14.5,0.4,5.7
Zucchini,17,1.2,3.1,0.3,2.5
Apple,52,0.3,14,0.2,10
Banana,89,1.1,23,0.3,12
Orange,47,0.9,12,0.1,9
Strawberries,32,0.7,7.7,0.3,4.9
Blueberries,57,0.7,14,0.3,10
Grapes,69,0.7,18,0.2,16
Mango,60,0.8,15,0.4,14
Pineapple,50,0.5,13,0.1,10
Watermelon,30,0.6,7.6,0.2,6
Peach,39,0.9,10,0.3,8
Chicken Breast,165,31,0,3.6,0
Salmon,208,25,0,13,0
Lean Beef,250,26,0,15,0
Turkey Breast,135,29,0,0.7,0
Tuna,116,26,0,1,0
Lamb,294,25,0,16,0
Trout,190,20,0,8,0
Venison,158,30,0,3,0
Duck Breast,201,27,0,11,0
Whole Milk,61,3.2,4.8,3.3,5.1
Skim Milk,34,3.4,5,0.1,5
Yogurt,59,3.6,4.7,0.4,4.7
Greek Yogurt,100,10,4,5,4
Cottage Cheese,98,11,3.4,4.3,2.7
Cheddar Cheese,402,25,1.3,33,0.5
Mozzarella,280,28,2.2,17,1
Parmesan,431,38,4.1,29,0
Butter,717,0.9,0.1,81,0.1
Cream,431,2.1,2.8,43,2.7
Salmon,208,25,0,13,0
Tuna,116,26,0,1,0
Trout,190,20,0,8,0
Sardines,208,25,0,11,0
Mackerel,305,19,0,25,0
Cod,105,22,0,1,0
Haddock,90,17,0,1,0
Halibut,140,26,0,3,0
Tilapia,96,20,0,2,0
Catfish,105,16,0,3,0
Almonds,579,21,22,50,4
Walnuts,654,15,14,65,2.6
Pistachios,562,20,28,45,8
Cashews,553,18,30,44,6
Pecans,691,9,14,72,4
Macadamia Nuts,718,8,14,76,4
Brazil Nuts,656,14,12,66,2
Hazelnuts,628,15,17,61,4
Pine Nuts,673,14,13,68,3.6
Peanuts,567,26,16,49,4
